DR Number,date_rptd,date_occ,Time Occurred,area,area_name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
212004246,2021-01-08,2021-01-08,750,20,Olympic,2039,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,51.0,M,H,101.0,STREET,HOOVER                       ST,7TH                          ST,"(34.0598, -118.2842)"
212004152,2021-01-05,2021-01-05,1300,20,Olympic,2019,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3401 3701 4027,60.0,F,H,101.0,STREET,3RD                          ST,COMMONWEALTH                 AV,"(34.069, -118.2857)"
210504436,2021-01-12,2021-01-02,1020,5,Harbor,528,997,TRAFFIC COLLISION,3006 3028 3030 3037 3104 4025,30.0,M,H,101.0,STREET,1000    MCFARLAND                    AV,,"(33.7833, -118.2528)"
210504435,2021-01-12,2021-01-12,805,5,Harbor,516,997,TRAFFIC COLLISION,4025 3037 3008 3024 3101,43.0,M,B,101.0,STREET,PACIFIC COAST                HY,ISLAND                       AV,"(33.791, -118.2666)"
211206327,2021-02-05,2021-02-04,2250,12,77th Street,1293,997,TRAFFIC COLLISION,4025 3037 3006 3028 3101,,M,O,101.0,STREET,MANHATTAN                    PL,108TH                        ST,"(33.9382, -118.3102)"
210205458,2021-02-08,2021-02-08,130,2,Rampart,231,997,TRAFFIC COLLISION,0601 3101 3401 3701 3006 3030 3034,,X,X,101.0,STREET,BEVERLY                      BL,HOOVER                       AV,"(34.0728, -118.2844)"
210205230,2021-02-01,2021-01-26,1250,2,Rampart,249,997,TRAFFIC COLLISION,0605 3101 3401 3701 4002 3006 3030,36.0,M,H,101.0,STREET,1000    WILSHIRE                     BL,,"(34.0519, -118.2624)"
210405432,2021-02-09,2021-01-30,1330,4,Hollenbeck,427,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3030,41.0,M,H,101.0,STREET,TEMPLETON,PAOLA,"(34.0819, -118.1809)"
210106248,2021-02-18,2021-02-18,1645,1,Central,185,997,TRAFFIC COLLISION,0605 3101 3401 3701 3030 3006 4024,56.0,F,H,101.0,STREET,LOS ANGELES,8TH                          ST,"(34.0388, -118.2574)"
211905783,2021-02-20,2021-02-20,1120,19,Mission,1924,997,TRAFFIC COLLISION,3006 3037 3028 3030 3101 4026,35.0,M,W,101.0,STREET,BUCKEYE                      AV,MEMPHIS                      AV,"(34.2891, -118.4528)"
212005436,2021-02-10,2021-02-10,1925,20,Olympic,2031,997,TRAFFIC COLLISION,3011 3028 3030 3035 3037 3101 3401 3701 4027,44.0,M,A,101.0,STREET,WILSHIRE                     BL,WILTON                       PL,"(34.0617, -118.3136)"
210809213,2021-05-11,2021-05-11,2200,8,West LA,851,997,TRAFFIC COLLISION,3003 3026 3029 4027 3035 3036 3101 3401 3701,35.0,M,H,101.0,STREET,IDAHO,BUNDY,"(34.0388, -118.4613)"
210809232,2021-05-12,2021-02-25,825,8,West LA,829,997,TRAFFIC COLLISION,,46.0,M,B,101.0,STREET,WARNALL                      AV,SANTA MONICA                 BL,"(34.0599, -118.4217)"
210809241,2021-05-12,2021-05-12,1220,8,West LA,892,997,TRAFFIC COLLISION,3034 3037 3101 3401 3701 3004 3028 3030 4027,99.0,M,W,103.0,ALLEY,PICO                         BL,FEDERAL                      AV,"(34.0326, -118.4436)"
210612418,2021-07-09,2021-07-09,1135,6,Hollywood,649,997,TRAFFIC COLLISION,3035 3037 3101 3401 3701 3004 3028 3030 4027,67.0,M,W,101.0,STREET,HOLLYWOOD                    BL,VINE                         ST,"(34.0999, -118.3038)"
210612419,2021-07-09,2021-07-09,1135,6,Hollywood,649,997,TRAFFIC COLLISION,3035 3037 3101 3401 3701 3003 3026 3029 4027,22.0,F,W,101.0,STREET,HOLLYWOOD                    BL,VINE                         ST,"(34.0999, -118.3038)"
210511511,2021-07-16,2021-07-16,320,5,Harbor,529,997,TRAFFIC COLLISION,3009 3025 4005 3036,33.0,M,H,101.0,STREET,ANAHEIM,EUBANK,"(33.7804, -118.255)"
210612312,2021-07-08,2021-07-05,115,6,Hollywood,656,997,TRAFFIC COLLISION,4006 3004 3026 3034 3036 3101 3401 3701,26.0,M,H,101.0,STREET,CAHUENGA                     BL,SANTA MONICA                 BL,"(34.0907, -118.3289)"
210612161,2021-07-05,2021-07-04,415,6,Hollywood,638,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 3039 4006,31.0,M,H,101.0,STREET,HOLLYWOOD                    BL,WILTON                       PL,"(34.1017, -118.3136)"
211704030,2021-01-01,2021-01-01,215,17,Devonshire,1799,997,TRAFFIC COLLISION,3004 3037 3025 3101 4017,25.0,M,H,101.0,STREET,ROSCOE                       BL,HASKELL                      AV,"(34.2214, -118.4749)"
210404022,2021-01-01,2021-01-01,640,4,Hollenbeck,455,997,TRAFFIC COLLISION,0605 3004 3101 3401 3701 3026 3036,42.0,M,H,101.0,STREET,N  STATE                        ST,10                           FY,"(34.0512, -118.2093)"
211304004,2021-01-01,2021-01-01,400,13,Newton,1321,997,TRAFFIC COLLISION,3101 3401 3701 4013 3025 3004 3029 0605,31.0,F,H,101.0,STREET,LONG BEACH                   ST,N  48TH                         ST,"(34.0289, -118.2686)"
211304038,2021-01-01,2021-01-01,910,13,Newton,1362,997,TRAFFIC COLLISION,3101 3401 3701 4013 3006 3030 0605,20.0,X,X,101.0,STREET,49TH                         ST,SAN PEDRO                    ST,"(33.9984, -118.2696)"
211904045,2021-01-01,2021-01-01,1900,19,Mission,1924,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 4019,41.0,M,H,101.0,STREET,NORA                         PL,YOUNGDALE                    AV,"(34.2912, -118.4575)"
211304010,2021-01-01,2021-01-01,820,13,Newton,1323,997,TRAFFIC COLLISION,3101 3401 3701 4013 3004 3026 3029 3036 0605,30.0,F,B,101.0,STREET,GRIFFITH                     AV,27TH                         ST,"(34.0194, -118.2578)"
210904013,2021-01-01,2021-01-01,305,9,Van Nuys,911,997,TRAFFIC COLLISION,4009 3029 3101 3006 3026 3037,45.0,F,H,101.0,STREET,SHERMAN                      WY,SHERMAN                      CI,"(34.2011, -118.473)"
211304001,2021-01-01,2021-01-01,5,13,Newton,1321,997,TRAFFIC COLLISION,3101 3401 3701 4013 3011 3030 3034 3036 0605 4024,,M,W,101.0,STREET,22ND                         ST,MAIN                         ST,"(34.0288, -118.2675)"
211004057,2021-01-01,2021-01-01,1745,10,West Valley,1027,997,TRAFFIC COLLISION,3004 3026 3101 4010 3037,33.0,F,H,101.0,STREET,SHERMAN                      WY,BALBOA                       BL,"(34.2011, -118.5011)"
211504002,2021-01-01,2021-01-01,200,15,N Hollywood,1599,997,TRAFFIC COLLISION,3011 3037 3028 3034 3030 3104 4015,20.0,M,O,101.0,STREET,CAHUENGA                     BL,UNIVERSAL ST,"(34.1284, -118.3568)"
210304069,2021-01-01,2021-01-01,15,3,Southwest,316,997,TRAFFIC COLLISION,3006 3037 3028 3030 3101,41.0,M,B,101.0,STREET,ADAMS                        BL,W  HALLDALE                     AV,"(34.0327, -118.3028)"
211904023,2021-01-01,2021-01-01,40,19,Mission,1901,997,TRAFFIC COLLISION,3037 3030 3028 3101 4019 3006,45.0,F,X,101.0,STREET,TUCKER                       AV,RAJAH                        ST,"(34.3261, -118.4889)"
210404029,2021-01-01,2021-01-01,1310,4,Hollenbeck,462,997,TRAFFIC COLLISION,0605 3101 3401 3701 4004 3011 3030 3034,,M,W,101.0,STREET,BOYLE                        AV,N  HOLLENBECK                   DR,"(34.0378, -118.2194)"
211704045,2021-01-01,2021-01-01,125,17,Devonshire,1737,997,TRAFFIC COLLISION,3006 3037 3028 3101 4017 3039,21.0,M,B,101.0,STREET,INDEX                        ST,RUFFNER                      AV,"(34.2756, -118.4978)"
